"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSMUSG00000064360",211.642798007479,3.94159513013004,0.912225661495965,4.32085535027176,1.55425539648926e-05,0.309327909009292,"mt-Nd3"
"ENSMUSG00000031167",3292.53773496495,0.33616928472076,0.0814615783273012,4.12672196664395,3.67970826848344e-05,0.366167769796787,"Rbm3"
"ENSMUSG00000007279",73.0072067434106,1.19600294222019,0.309310642435752,3.86667245847714,0.000110330450924807,0.731932211435168,"Scube2"
"ENSMUSG00000036480",72.8430110912487,-1.37244097722682,0.366422896788924,-3.74551096357226,0.000180026984429125,0.89572426102711,"Prss56"
"ENSMUSG00000107205",46.770636375362,0.999783354074462,0.274711057888681,3.63939974516641,0.000273274303138768,0.993218959586931,"Gm42576"
"ENSMUSG00000035852",23.2193220442424,-1.32771041838278,0.370511131636763,-3.58345621767829,0.000339077620918904,0.993218959586931,"Misp"
"ENSMUSG00000060985",123.678014176366,0.6250296852323,0.176497037963003,3.54130410598344,0.000398154389544197,0.993218959586931,"Tdrd5"
"ENSMUSG00000096934",19.7841732073621,1.38158867158542,0.393643165533484,3.50974891108049,0.000448530028101164,0.993218959586931,"Gm26658"
"ENSMUSG00000096768",55.1815058070071,-1.46337584107246,0.417157922272958,-3.50796607936631,0.000451546620695832,0.993218959586931,"Gm47283"
"ENSMUSG00000027875",1428.34233850775,-0.483109592116086,0.138987379392882,-3.47592417546387,0.000509096202021394,0.993218959586931,"Hmgcs2"
"ENSMUSG00000063415",133.677361341639,-0.763434665248307,0.222183560764417,-3.43605378643554,0.000590253776738256,0.993218959586931,"Cyp26b1"
"ENSMUSG00000003039",4357.21224405918,-0.174995245531519,0.0509873956316013,-3.43212755552197,0.00059886581826164,0.993218959586931,"Fam32a"
"ENSMUSG00000028197",250.144767146827,0.82514260058755,0.24230407302443,3.40540128066421,0.000660668952371744,0.999972122235056,"Col24a1"
"ENSMUSG00000041710",833.277721585916,0.319402872636593,0.0948871975949966,3.36613242599795,0.000762301027453507,0.999972122235056,"Trpc5"
"ENSMUSG00000103867",100.111784356649,0.709464938718732,0.211408510386655,3.35589583135115,0.000791083594851781,0.999972122235056,"9630010A21Rik"
"ENSMUSG00000098758",46.8368262899718,1.48400387008105,0.461344448009545,3.21669389646659,0.00129676874528485,0.999972122235056,"7630403G23Rik"
"ENSMUSG00000087176",24.6077445187727,1.34813610670131,0.419946220895361,3.21025893226749,0.00132615452759464,0.999972122235056,"D230022J07Rik"
"ENSMUSG00000067604",29.0245205218391,-1.40056799466367,0.44025002710846,-3.18130132520951,0.00146615046543035,0.999972122235056,"Nms"
"ENSMUSG00000069919",1062.85213625904,-1.04685575545704,0.332125000774609,-3.15199323452157,0.00162160030511772,0.999972122235056,"Hba-a1"
"ENSMUSG00000067189",342.012930397478,0.363910468768766,0.116669379205149,3.11916006794615,0.00181367403114012,0.999972122235056,"Gm7335"
"ENSMUSG00000003032",195.650982456164,-0.463601478525726,0.149196059618225,-3.10733058039218,0.00188785159591541,0.999972122235056,"Klf4"
"ENSMUSG00000095562",11.6364694674638,-2.3036002298025,0.743918308789045,-3.09657687220027,0.00195769094936622,0.999972122235056,""
"ENSMUSG00000021371",1205.89547175168,0.219327352320144,0.0718246845393429,3.0536486686552,0.00226076672341704,0.999972122235056,"Mcur1"
"ENSMUSG00000045915",175.279668397189,-0.503124007531943,0.167134197343853,-3.01029960072648,0.00260990110197398,0.999972122235056,"Ccdc42"
"ENSMUSG00000002017",2478.14433974249,0.185925007746223,0.0618198346841612,3.00753000547669,0.00263380122351909,0.999972122235056,"Fam98a"
"ENSMUSG00000031847",732.073928025276,-0.247356162753662,0.0830478698166591,-2.97847691096399,0.0028968485422261,0.999972122235056,"1700030J22Rik"
"ENSMUSG00000083878",32.3748587846053,-1.09067986006932,0.367010957925234,-2.97179099565606,0.0029606815647449,0.999972122235056,"Gm12034"
"ENSMUSG00000037578",83.2744519140913,0.715293669957198,0.240970089341436,2.96839193574636,0.0029936234491564,0.999972122235056,"Pkd2l1"
"ENSMUSG00000047735",742.518373527176,0.550977689081562,0.185812673207502,2.96523202411641,0.00302454720147799,0.999972122235056,"Samd9l"
"ENSMUSG00000101135",7.83673273414346,1.82903879973989,0.617643977216472,2.96131568866387,0.00306327777524611,0.999972122235056,"Gm17981"
"ENSMUSG00000030787",8.6441619713246,-2.08844943382575,0.705412608424065,-2.96060689713426,0.00307033551159638,0.999972122235056,"Lyve1"
"ENSMUSG00000050359",18.7789046333559,-1.95721489507573,0.663930891302131,-2.94791961138779,0.00319920245641349,0.999972122235056,"Sprr1a"
"ENSMUSG00000029822",2590.66438337104,0.336328777933334,0.114662954146321,2.93319477452279,0.00335493348698745,0.999972122235056,"Osbpl3"
"ENSMUSG00000028280",7.05808209895768,-2.63687357840245,0.899438658662265,-2.93168806233465,0.00337125180411418,0.999972122235056,"Gabrr1"
