"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSMUSG00000024650",484.753956556372,0.640784884277987,0.119443379430837,5.36475849336656,8.10576001428488e-08,0.00151788462027499,"Slc22a6"
"ENSMUSG00000096847",10891.7080173319,-0.233600101294212,0.0458661487836879,-5.09308297053472,3.52287434110588e-07,0.00329846724557743,"Tmem151b"
"ENSMUSG00000061353",5831.82862694224,-0.234220277313756,0.0485770105922584,-4.82162805940724,1.42391262211958e-06,0.00888806258727043,"Cxcl12"
"ENSMUSG00000034936",680.477790498155,-0.410555066611274,0.0895148483087891,-4.5864465434274,4.50853771903755e-06,0.0211067193316743,"Arl4d"
"ENSMUSG00000036814",965.964167741393,0.423177584774434,0.0983654686964699,4.30209493618385,1.69190785475642e-05,0.0546802435322459,"Slc6a20a"
"ENSMUSG00000027435",567.149592018502,-0.39663434730643,0.0923617729370694,-4.29435614641868,1.75201036630073e-05,0.0546802435322459,"Cd93"
"ENSMUSG00000034460",128.779264565425,-0.807689459509862,0.19472677788291,-4.14780888530661,3.35672420898185e-05,0.0798165908952926,"Six4"
"ENSMUSG00000027322",15.0573261550393,1.76741083118665,0.428322533904833,4.12635500419258,3.68558193182568e-05,0.0798165908952926,"Siglec1"
"ENSMUSG00000074272",216.535440810744,-0.473506255156599,0.115008666155531,-4.11713543843954,3.83610657939567e-05,0.0798165908952926,"Ceacam1"
"ENSMUSG00000091694",14.1241550286973,-2.29249401597224,0.560945001045065,-4.08684275945275,4.37283268320718e-05,0.0818856648257377,"Apol11b"
"ENSMUSG00000037010",1420.46086158459,-0.374546817474956,0.0931879196297012,-4.01926364450762,5.83803145146884e-05,0.0889403759589077,"Apln"
"ENSMUSG00000020641",154.430807345863,-0.664327399675428,0.165849878354608,-4.00559473583099,6.18616336477073e-05,0.0889403759589077,"Rsad2"
"ENSMUSG00000042529",1099.72051834293,-0.226251378054144,0.0565619569685785,-4.00006276621285,6.3325685742151e-05,0.0889403759589077,"Kcnj12"
"ENSMUSG00000028194",5642.56539866172,-0.181888745652544,0.0458067428026028,-3.97078540241042,7.16360837420954e-05,0.0889403759589077,"Ddah1"
"ENSMUSG00000040363",2718.90091836744,-0.258200376050656,0.0651900761902209,-3.96073131280353,7.47205719809862e-05,0.0889403759589077,"Bcor"
